# 按照顺序,保留的feature依次为：无消融,coverage+mods,coverage+mod1-7,coverage+mod1-6,coverage+mod1-5,coverage+mod1-4,coverage+mod1-3,coverage+mod1-2,
# coverage+mod1,onehot,mods,onehot+mods
fold,AUC
1,0.7533881315156375
2,0.756176176176176
3,0.7718433911801965
4,0.7174939467312349
5,0.7285533173686435
Mean AUC,0.7454909925943777
AUC Variance,0.00038834125633192953
1,0.7415998396150763
2,0.7253153153153152
3,0.7667960345070282
4,0.7264931396287329
5,0.735485883323607
Mean AUC,0.7391380424779518
AUC Variance,0.00022706491779846924
1,0.7413392141138734
2,0.7234934934934936
3,0.767218323312353
4,0.7249394673123487
5,0.7355462539995573
Mean AUC,0.7385073504463252
AUC Variance,0.00025012217204995146
1,0.7413592622293504
2,0.7240540540540542
3,0.7670976693679743
4,0.7247578692493947
5,0.7361097136417604
Mean AUC,0.7386757137085067
AUC Variance,0.0002458185355907373
1,0.7345028067361667
2,0.7226926926926928
3,0.7554445092400811
4,0.7199656981436642
5,0.7348821765641036
Mean AUC,0.7334975766753417
AUC Variance,0.00015689054156058866
1,0.7346631916599841
2,0.7225725725725727
3,0.7551529288744996
4,0.7199858757062146
5,0.734781558770853
Mean AUC,0.7334312255168247
AUC Variance,0.00015477226250540705
1,0.7337209302325582
2,0.7366466466466466
3,0.7604214844456956
4,0.7243341404358353
5,0.7339162457488982
Mean AUC,0.7378078895019268
AUC Variance,0.00014522264046314972
1,0.7361066559743384
2,0.7290690690690691
3,0.7610046451768584
4,0.7249999999999999
5,0.7371360151329162
Mean AUC,0.7376632770706364
AUC Variance,0.00015634790736009563
1,0.7427425821972735
2,0.7318318318318318
3,0.7591847815158156
4,0.7199354317998385
5,0.7356669953514581
Mean AUC,0.7378723245392435
AUC Variance,0.00016820467643070946
1,0.7443664795509224
2,0.7317317317317318
3,0.7586418387661122
4,0.7199757869249396
5,0.7349827943573541
Mean AUC,0.7379397262662121
AUC Variance,0.00016797327577034696
1,0.5835006021678042
2,0.6105693993017937
3,0.606994766505636
4,0.6178597325169191
5,0.6096942880128721
Mean AUC,0.6057237577010051
AUC Variance,0.00013640226868950645
1,0.595303091128061
2,0.5137133341358694
3,0.5366143317230275
4,0.5060223976796648
5,0.5584975864843121
Mean AUC,0.542030148230187
AUC Variance,0.0010473828192507128
1,0.6063227619429947
2,0.5970466674692027
3,0.6096719001610306
4,0.617386400257815
5,0.6190064360418343
Mean AUC,0.6098868331745755
AUC Variance,6.340586363560992e-05
