# 按照顺序,保留的feature依次为：无消融,coverage+mods,coverage+mod1-7,coverage+mod1-6,coverage+mod1-5,coverage+mod1-4,coverage+mod1-3,coverage+mod1-2,
# coverage+mod1,onehot,mods,onehot+mods
fold,AUC
1,0.7960457647531112
2,0.7939488784559207
3,0.8181260064412238
4,0.8409603609410249
5,0.7793242156074014
Mean AUC,0.8056810452397365
AUC Variance,0.00046493440228496995
1,0.7916097952629465
2,0.7035431965009429
3,0.7729166666666667
4,0.7696080406058653
5,0.7483608205953339
Mean AUC,0.757207703926351
AUC Variance,0.0009084380900715412
1,0.7898635086310718
2,0.7007242887524578
3,0.7606179549114331
4,0.7729112955204641
5,0.7495072405470636
Mean AUC,0.7547248576724981
AUC Variance,0.0009086969760019184
1,0.7897731834604577
2,0.7016672685686771
3,0.7636171497584541
4,0.7688527231711247
5,0.750191069991955
Mean AUC,0.7548202789901337
AUC Variance,0.0008685344097462084
1,0.7806503412284223
2,0.7091709802977408
3,0.761725040257649
4,0.7631223815662264
5,0.7475160901045858
Mean AUC,0.7524369666909247
AUC Variance,0.0005785203018768931
1,0.7801686069851466
2,0.702770755587657
3,0.7597322866344606
4,0.7672514502094747
5,0.7470534995977474
Mean AUC,0.7513953198028972
AUC Variance,0.0007064047181018079
1,0.7773986350863107
2,0.6871814935195217
3,0.7644424315619969
4,0.759537141475991
5,0.7451025744167338
Mean AUC,0.7467324552121107
AUC Variance,0.0009933982781252118
1,0.7738458450421517
2,0.6884956462421252
3,0.7534520933977455
4,0.7520645343216242
5,0.7512570394207563
Mean AUC,0.7438230316848806
AUC Variance,0.0008356789136030858
1,0.7618526696105982
2,0.706321977448738
3,0.7377113526570048
4,0.75240694489204
5,0.7457964601769912
Mean AUC,0.7408178809570745
AUC Variance,0.000360234572914341
1,0.7571356884785228
2,0.6951667268568676
3,0.7589673913043478
4,0.7436049790525299
5,0.7471641190667739
Mean AUC,0.7404077809518084
AUC Variance,0.0005453810365401484
1,0.7340927338418306
2,0.7077163837727218
3,0.761483494363929
4,0.7679765549468256
5,0.7307019308125502
Mean AUC,0.7403942195475715
AUC Variance,0.000481406574461504
1,0.5712866318747492
2,0.5512720195818788
3,0.5464371980676328
4,0.526365613922011
5,0.5856496379726469
Mean AUC,0.5562022202837837
AUC Variance,0.0004209150997236775
1,0.7347450822962664
2,0.7078568275751375
3,0.7585245571658616
4,0.7664759909764745
5,0.7349557522123893
Mean AUC,0.7405116420452258
AUC Variance,0.00042581411156313796
