sample	cov_1	cov_2	cov_3	cov_4	cov_5	cov_6	cov_7	cov_8	cov_9	cov_10	cov_11	cov_12	cov_13	cov_14	cov_15	cov_16	cov_17	cov_18	cov_19	cov_20	cov_21	cov_22	cov_23	cov_24	cov_25	cov_26	cov_27	cov_28	cov_29	cov_30	cov_31	cov_32	cov_33	cov_34	cov_35	cov_36	cov_37	cov_38	cov_39	cov_40	m1A.V1	m1A.V2	m1A.V3	m1A.V4	m1A.V5	m1A.V6	m1A.V7	m1A.V8	m1A.V9	m1A.V10	m1A.V11	m1A.V12	m1A.V13	m1A.V14	m1A.V15	m1A.V16	m1A.V17	m1A.V18	m1A.V19	m1A.V20	m1A.V21	m1A.V22	m1A.V23	m1A.V24	m1A.V25	m1A.V26	m1A.V27	m1A.V28	m1A.V29	m1A.V30	m1A.V31	m1A.V32	m1A.V33	m1A.V34	m1A.V35	m1A.V36	m1A.V37	m1A.V38	m1A.V39	m1A.V40	m6A.V1	m6A.V2	m6A.V3	m6A.V4	m6A.V5	m6A.V6	m6A.V7	m6A.V8	m6A.V9	m6A.V10	m6A.V11	m6A.V12	m6A.V13	m6A.V14	m6A.V15	m6A.V16	m6A.V17	m6A.V18	m6A.V19	m6A.V20	m6A.V21	m6A.V22	m6A.V23	m6A.V24	m6A.V25	m6A.V26	m6A.V27	m6A.V28	m6A.V29	m6A.V30	m6A.V31	m6A.V32	m6A.V33	m6A.V34	m6A.V35	m6A.V36	m6A.V37	m6A.V38	m6A.V39	m6A.V40	m5C.V1	m5C.V2	m5C.V3	m5C.V4	m5C.V5	m5C.V6	m5C.V7	m5C.V8	m5C.V9	m5C.V10	m5C.V11	m5C.V12	m5C.V13	m5C.V14	m5C.V15	m5C.V16	m5C.V17	m5C.V18	m5C.V19	m5C.V20	m5C.V21	m5C.V22	m5C.V23	m5C.V24	m5C.V25	m5C.V26	m5C.V27	m5C.V28	m5C.V29	m5C.V30	m5C.V31	m5C.V32	m5C.V33	m5C.V34	m5C.V35	m5C.V36	m5C.V37	m5C.V38	m5C.V39	m5C.V40	Nm.V1	Nm.V2	Nm.V3	Nm.V4	Nm.V5	Nm.V6	Nm.V7	Nm.V8	Nm.V9	Nm.V10	Nm.V11	Nm.V12	Nm.V13	Nm.V14	Nm.V15	Nm.V16	Nm.V17	Nm.V18	Nm.V19	Nm.V20	Nm.V21	Nm.V22	Nm.V23	Nm.V24	Nm.V25	Nm.V26	Nm.V27	Nm.V28	Nm.V29	Nm.V30	Nm.V31	Nm.V32	Nm.V33	Nm.V34	Nm.V35	Nm.V36	Nm.V37	Nm.V38	Nm.V39	Nm.V40	m7G.V1	m7G.V2	m7G.V3	m7G.V4	m7G.V5	m7G.V6	m7G.V7	m7G.V8	m7G.V9	m7G.V10	m7G.V11	m7G.V12	m7G.V13	m7G.V14	m7G.V15	m7G.V16	m7G.V17	m7G.V18	m7G.V19	m7G.V20	m7G.V21	m7G.V22	m7G.V23	m7G.V24	m7G.V25	m7G.V26	m7G.V27	m7G.V28	m7G.V29	m7G.V30	m7G.V31	m7G.V32	m7G.V33	m7G.V34	m7G.V35	m7G.V36	m7G.V37	m7G.V38	m7G.V39	m7G.V40	Pseudo.V1	Pseudo.V2	Pseudo.V3	Pseudo.V4	Pseudo.V5	Pseudo.V6	Pseudo.V7	Pseudo.V8	Pseudo.V9	Pseudo.V10	Pseudo.V11	Pseudo.V12	Pseudo.V13	Pseudo.V14	Pseudo.V15	Pseudo.V16	Pseudo.V17	Pseudo.V18	Pseudo.V19	Pseudo.V20	Pseudo.V21	Pseudo.V22	Pseudo.V23	Pseudo.V24	Pseudo.V25	Pseudo.V26	Pseudo.V27	Pseudo.V28	Pseudo.V29	Pseudo.V30	Pseudo.V31	Pseudo.V32	Pseudo.V33	Pseudo.V34	Pseudo.V35	Pseudo.V36	Pseudo.V37	Pseudo.V38	Pseudo.V39	Pseudo.V40	otherMod.V1	otherMod.V2	otherMod.V3	otherMod.V4	otherMod.V5	otherMod.V6	otherMod.V7	otherMod.V8	otherMod.V9	otherMod.V10	otherMod.V11	otherMod.V12	otherMod.V13	otherMod.V14	otherMod.V15	otherMod.V16	otherMod.V17	otherMod.V18	otherMod.V19	otherMod.V20	otherMod.V21	otherMod.V22	otherMod.V23	otherMod.V24	otherMod.V25	otherMod.V26	otherMod.V27	otherMod.V28	otherMod.V29	otherMod.V30	otherMod.V31	otherMod.V32	otherMod.V33	otherMod.V34	otherMod.V35	otherMod.V36	otherMod.V37	otherMod.V38	otherMod.V39	otherMod.V40	RNA-editing.V1	RNA-editing.V2	RNA-editing.V3	RNA-editing.V4	RNA-editing.V5	RNA-editing.V6	RNA-editing.V7	RNA-editing.V8	RNA-editing.V9	RNA-editing.V10	RNA-editing.V11	RNA-editing.V12	RNA-editing.V13	RNA-editing.V14	RNA-editing.V15	RNA-editing.V16	RNA-editing.V17	RNA-editing.V18	RNA-editing.V19	RNA-editing.V20	RNA-editing.V21	RNA-editing.V22	RNA-editing.V23	RNA-editing.V24	RNA-editing.V25	RNA-editing.V26	RNA-editing.V27	RNA-editing.V28	RNA-editing.V29	RNA-editing.V30	RNA-editing.V31	RNA-editing.V32	RNA-editing.V33	RNA-editing.V34	RNA-editing.V35	RNA-editing.V36	RNA-editing.V37	RNA-editing.V38	RNA-editing.V39	RNA-editing.V40
NR_146148_____1|3205|same	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0263157894736842	0.131578947368421	0.210526315789474	0.236842105263158	0.263157894736842	0.263157894736842	0.263157894736842	0.263157894736842	0.263157894736842	0.315789473684211	0.315789473684211	0.315789473684211	0.315789473684211	0.342105263157895	0.368421052631579	0.421052631578947	0.736842105263158	0.815789473684211	0.815789473684211	0.894736842105263	0.973684210526316	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_046235_____3|9861|same	0	0	0	0	0	0	0.0192307692307692	0.0192307692307692	0.0192307692307692	0.0192307692307692	0.0192307692307692	0.0192307692307692	0.0192307692307692	0.0192307692307692	0.0192307692307692	0.0192307692307692	0.0192307692307692	0.0192307692307692	0.0192307692307692	0.0576923076923077	0.0769230769230769	0.134615384615385	0.25	0.269230769230769	0.288461538461538	0.326923076923077	0.346153846153846	0.384615384615385	0.403846153846154	0.538461538461538	0.557692307692308	0.634615384615385	0.653846153846154	0.711538461538462	0.75	0.807692307692308	0.846153846153846	0.923076923076923	0.961538461538462	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_146144_____1|9376|same	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0909090909090909	0.181818181818182	0.272727272727273	0.272727272727273	0.272727272727273	0.363636363636364	0.363636363636364	0.363636363636364	0.363636363636364	0.363636363636364	0.363636363636364	0.363636363636364	0.363636363636364	0.363636363636364	0.363636363636364	0.454545454545455	0.454545454545455	0.454545454545455	0.454545454545455	0.545454545454545	0.545454545454545	0.909090909090909	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_146148_____1|1466|same	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.714285714285714	0.714285714285714	0.857142857142857	0.714285714285714	0.857142857142857	0.857142857142857	0.857142857142857	1	1	1	0.714285714285714	0.714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_145819_____1|9861|same	0	0	0	0	0	0	0.0192307692307692	0.0192307692307692	0.0192307692307692	0.0192307692307692	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0576923076923077	0.0961538461538462	0.153846153846154	0.25	0.307692307692308	0.307692307692308	0.442307692307692	0.5	0.519230769230769	0.519230769230769	0.538461538461538	0.576923076923077	0.634615384615385	0.653846153846154	0.692307692307692	0.75	0.807692307692308	0.903846153846154	0.961538461538462	0.980769230769231	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_145822_____1|2864|same	0.947368421052632	1	1	0.736842105263158	0.578947368421053	0.578947368421053	0.578947368421053	0.578947368421053	0.473684210526316	0.473684210526316	0.473684210526316	0.421052631578947	0.421052631578947	0.421052631578947	0.368421052631579	0.421052631578947	0.421052631578947	0.368421052631579	0.368421052631579	0.315789473684211	0.421052631578947	0.368421052631579	0.368421052631579	0.315789473684211	0.368421052631579	0.421052631578947	0.473684210526316	0.473684210526316	0.421052631578947	0.368421052631579	0.368421052631579	0.421052631578947	0.526315789473684	0.578947368421053	0.684210526315789	0.894736842105263	0.842105263157895	0.842105263157895	0.894736842105263	0.842105263157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_145822_____1|3582|diff	0.0210526315789474	0.0210526315789474	0.0263157894736842	0.0263157894736842	0.0315789473684211	0.0315789473684211	0.0315789473684211	0.0315789473684211	0.0315789473684211	0.0315789473684211	0.0315789473684211	0.0315789473684211	0.0315789473684211	0.0315789473684211	0.0315789473684211	0.0315789473684211	0.0315789473684211	0.0315789473684211	0.0315789473684211	0.0368421052631579	0.0368421052631579	0.0368421052631579	0.0368421052631579	0.0473684210526316	0.0578947368421053	0.068421052631579	0.0736842105263158	0.0894736842105263	0.152631578947368	0.252631578947368	0.415789473684211	0.468421052631579	0.910526315789474	0.963157894736842	0.984210526315789	0.994736842105263	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_046235_____3|5412|same	0.0595238095238095	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0595238095238095	0.0595238095238095	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0714285714285714	0.0833333333333333	0.107142857142857	0.142857142857143	0.19047619047619	0.30952380952381	0.333333333333333	0.452380952380952	0.571428571428571	0.630952380952381	0.797619047619048	0.833333333333333	0.869047619047619	0.952380952380952	0.988095238095238	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000544983_____1|127|same	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0137931034482759	0.937931034482759	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_146144_____1|5408|same	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.06	0.06	0.04	0.04	0.03	0.03	0.03	0.03	0.04	0.05	0.06	0.07	0.1	0.2	0.22	0.29	0.38	0.46	0.53	0.6	0.64	0.71	0.73	0.73	0.74	0.75	0.75	0.76	0.77	0.82	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
