sample,label
NR_145820_____1|98|same,0
NR_146119_____1|101|same,0
NR_146151_____1|3733|same,0
NR_046235_____3|5155|diff,1
NR_146144_____1|3913|diff,1
NR_146151_____1|3902|diff,1
NR_003286_____4|101|same,0
ENST00000544983_____1|127|same,0
NR_146151_____1|5397|same,0
NR_146117_____1|3930|diff,1
NR_146117_____1|5423|diff,1
NR_146144_____1|5407|same,0
ENST00000586231_____1|1430|same,0
ENST00000361624_____2|1113|diff,1
NR_146144_____1|11474|diff,1
NR_145819_____1|5419|same,0
NR_145819_____1|8287|same,0
NR_146118_____1|3214|same,0
NR_146118_____1|3596|diff,1
NR_046235_____3|5420|same,0
enhancer__chr5___136079113____136082913_neg|2357|diff,1
NR_146146_____1|109|diff,1
NR_146151_____1|11094|diff,1
NR_146152_____1|111|diff,1
NR_146144_____1|12093|same,0
NR_146146_____1|270|diff,1
NR_146148_____1|3205|same,0
NR_046235_____3|4173|diff,1
NR_046235_____3|12135|same,0
NR_046235_____3|3766|diff,1
NR_145819_____1|10722|same,0
NR_003286_____4|273|diff,1
NR_145822_____1|4421|same,0
NR_146117_____1|4320|same,0
NR_146117_____1|12153|same,0
NR_146144_____1|10698|same,0
NR_146148_____1|4200|same,0
NR_146118_____1|2793|same,0
ENST00000600213_____3|949|diff,1
NR_003287_____4|4424|same,0
NR_146151_____1|643|same,0
NR_146117_____1|12592|diff,1
NR_146151_____1|12095|diff,1
NR_146151_____1|12531|diff,1
NR_146154_____1|4195|same,0
NR_145819_____1|12576|diff,1
NR_046235_____3|12579|diff,1
ENST00000361739_____1|458|same,0
NR_146144_____1|12541|diff,1
NR_146148_____1|4409|same,0
NR_145819_____1|12142|diff,1
NR_146117_____1|9246|same,0
NR_146117_____1|10064|same,0
NR_046235_____3|9740|same,0
G087360__chrM___131____1617_neg|1209|same,0
promoter__chr17___8176032____8187032_pos|10820|same,0
enhancer__chr9___110197278____110199678_pos|1237|same,0
NR_146144_____1|7893|same,0
NR_146151_____1|7884|same,0
NR_146117_____1|7924|same,0
NR_046235_____3|7917|same,0
G033992__chr17___8100551____8128648_pos|19193|same,0
NR_146144_____1|12908|same,0
NR_146151_____1|9204|same,0
NR_146151_____1|12035|same,0
NR_146151_____1|12900|same,0
NR_145819_____1|12083|same,0
NR_145819_____1|12944|same,0
NR_146117_____1|12962|same,0
NR_146118_____1|4228|same,0
NR_046235_____3|12948|same,0
