sample,label
NR_146148_____1|3205|same,0
NR_046235_____3|9861|same,0
NR_146144_____1|9376|same,0
NR_146148_____1|1466|same,0
NR_145819_____1|9861|same,0
NR_145822_____1|2864|same,0
NR_145822_____1|3582|diff,1
NR_046235_____3|5412|same,0
ENST00000544983_____1|127|same,0
NR_146144_____1|5408|same,0
NR_146151_____1|10728|same,0
NR_146119_____1|1501|diff,1
NR_146119_____1|1764|same,0
NR_146144_____1|3914|diff,1
NR_145819_____1|3925|diff,1
NR_146117_____1|10786|same,0
NR_146119_____1|106|same,0
NR_046235_____3|10775|same,0
NR_146151_____1|5397|same,0
NR_146154_____1|2849|same,0
NR_003286_____4|1765|same,0
NR_003287_____4|2867|same,0
NR_145819_____1|5159|diff,1
NR_146117_____1|5422|same,0
NR_046235_____3|11513|diff,1
NR_146148_____1|1933|same,0
NR_146151_____1|3902|diff,1
NR_003287_____4|3590|diff,1
NR_146151_____1|3739|diff,1
NR_146151_____1|11905|same,0
NR_146152_____1|110|same,0
NR_146117_____1|3935|diff,1
NR_003286_____4|270|same,0
NR_146144_____1|12096|same,0
NR_046235_____3|12348|same,0
ENST00000600213_____3|416|same,0
NR_146144_____1|11917|same,0
NR_146117_____1|12362|same,0
NR_046235_____3|4173|diff,1
NR_003287_____4|4030|same,0
NR_145819_____1|3768|diff,1
NR_145819_____1|10801|diff,1
NR_145819_____1|12134|same,0
NR_146118_____1|4038|same,0
NR_046235_____3|11956|same,0
NR_146151_____1|4794|diff,1
NR_146154_____1|4017|same,0
NR_145819_____1|4315|same,0
ENST00000600213_____3|949|diff,1
G087360__chrM___131____1617_neg|1326|same,0
G087360__chrM___9934____14148_neg|180|same,0
NR_145822_____1|4028|same,0
NR_146151_____1|9382|diff,1
NR_003287_____4|2572|same,0
NR_145822_____1|2795|same,0
NR_003287_____4|2808|same,0
ENST00000361624_____2|204|diff,1
NR_146118_____1|4661|diff,1
NR_145819_____1|11864|diff,1
NR_146117_____1|12594|diff,1
ENST00000361390_____2|363|diff,1
NR_146151_____1|9197|same,0
NR_146151_____1|12532|diff,1
NR_146154_____1|1490|diff,1
NR_146154_____1|2066|same,0
ENST00000361381_____2|1027|same,0
G087360__chrM___131____1617_neg|1209|same,0
promoter__chr17___8176032____8187032_pos|10820|same,0
NR_146144_____1|12538|diff,1
NR_003287_____4|4214|same,0
ENST00000554988_____1|274|same,0
ENST00000361789_____2|80|same,0
ENST00000604952_____1|1297|same,0
NR_146144_____1|423|same,0
NR_146144_____1|9217|same,0
NR_146144_____1|12908|same,0
NR_146148_____1|4202|same,0
NR_146151_____1|423|same,0
NR_146151_____1|12900|same,0
NR_146154_____1|4198|same,0
NR_145819_____1|423|same,0
NR_145819_____1|12576|diff,1
NR_145819_____1|12944|same,0
NR_145822_____1|2575|same,0
NR_146117_____1|423|same,0
NR_146117_____1|10507|same,0
NR_146117_____1|12148|same,0
NR_146117_____1|12962|same,0
NR_146118_____1|4227|same,0
NR_046235_____3|423|same,0
NR_046235_____3|12948|same,0
G004492__chr1___145982791____146044553_pos|52930|diff,1
G069974__chr6___26730213____26743593_pos|393|same,0
NR_146144_____1|3597|same,0
NR_146144_____1|4604|same,0
NR_146151_____1|10456|same,0
NR_145819_____1|3606|same,0
NR_046235_____3|3607|same,0
ENST00000554988_____1|571|same,0
ENST00000567527_____1|1144|diff,1
